[Places] 共 1796 家，已快取 0 家，這次要查 1796 家
  50/1796  {'matched': 49, 'no_result': 0, 'rejected': 1, 'error': 0}
  100/1796  {'matched': 99, 'no_result': 0, 'rejected': 1, 'error': 0}
  150/1796  {'matched': 148, 'no_result': 0, 'rejected': 2, 'error': 0}
  200/1796  {'matched': 196, 'no_result': 0, 'rejected': 4, 'error': 0}
  250/1796  {'matched': 246, 'no_result': 0, 'rejected': 4, 'error': 0}
  300/1796  {'matched': 296, 'no_result': 0, 'rejected': 4, 'error': 0}
  350/1796  {'matched': 346, 'no_result': 0, 'rejected': 4, 'error': 0}
  400/1796  {'matched': 396, 'no_result': 0, 'rejected': 4, 'error': 0}
  450/1796  {'matched': 446, 'no_result': 0, 'rejected': 4, 'error': 0}
  500/1796  {'matched': 496, 'no_result': 0, 'rejected': 4, 'error': 0}
  550/1796  {'matched': 546, 'no_result': 0, 'rejected': 4, 'error': 0}
  600/1796  {'matched': 596, 'no_result': 0, 'rejected': 4, 'error': 0}
  650/1796  {'matched': 646, 'no_result': 0, 'rejected': 4, 'error': 0}
  700/1796  {'matched': 696, 'no_result': 0, 'rejected': 4, 'error': 0}
  750/1796  {'matched': 746, 'no_result': 0, 'rejected': 4, 'error': 0}
  800/1796  {'matched': 795, 'no_result': 0, 'rejected': 5, 'error': 0}
  850/1796  {'matched': 844, 'no_result': 0, 'rejected': 6, 'error': 0}
  900/1796  {'matched': 893, 'no_result': 0, 'rejected': 7, 'error': 0}
  950/1796  {'matched': 943, 'no_result': 0, 'rejected': 7, 'error': 0}
  1000/1796  {'matched': 992, 'no_result': 0, 'rejected': 8, 'error': 0}
  1050/1796  {'matched': 1042, 'no_result': 0, 'rejected': 8, 'error': 0}
  1100/1796  {'matched': 1091, 'no_result': 0, 'rejected': 9, 'error': 0}
