[官網抽價] 目標 319 家，已處理 12 家，這次跑 307 家
    1/307 台糖花蓮旅館               2730
    2/307 方舟旅店                 2380
    3/307 楓采行館                 no_price
    4/307 愛之屋渡假別墅              3000
    5/307 翌日匆匆輕旅民宿             1500
    6/307 浯島輕旅                 1880
    7/307 浯島文旅                 1880
    8/307 南元休閒農場湖上渡假村          no_price
    9/307 山林渡假會館               not_html
   10/307 華蔓渡假會館               not_html
   11/307 埔里夏都渡假會館             not_html
   12/307 圓山大飯店                empty
   13/307 幸福客棧                 no_price
   14/307 陽明山天籟渡假酒店            no_price
   15/307 虎爸羊媽的家               no_price
   16/307 五船民宿                 no_price
   17/307 福容大飯店 麗寶樂園           no_price
   18/307 夏之禾民宿                not_html
   19/307 皇冠商務汽車旅館             no_price
   20/307 旅人驛站日暮微旅             no_price
   21/307 寶島窯民宿                no_price
   22/307 薆悅酒店                 no_price
   23/307 馥俐旅店                 no_price
   24/307 LA VIDA HOTEL 逢甲商旅   no_price
   25/307 工業風親子民宿              no_price
   26/307 瑪駿汽車旅館               2300
   27/307 長灘運動休閒飯店             no_price
   28/307 碼頭精品旅店               1500
   29/307 236寓所民宿              no_price
   30/307 暐順和選旅                no_price
   31/307 根本家民宿                3300
   32/307 台南南科戴斯精選酒店           4500
   33/307 千和居                  no_price
   34/307 浯江大飯店                no_price
   35/307 魚窩Ｂ＆Ｂ                no_price
   36/307 瑞恒行館民宿               no_price
   37/307 湛湛里煙                 no_price
   38/307 萊茵商旅                 no_price
   39/307 蘭庭民宿                 no_price
   40/307 中科大飯店                no_price
   41/307 阿嬌ㄟ岫                 no_price
   42/307 二八樹巷藝術文旅             not_html
   43/307 梨山賓館                 8000
   44/307 雲泊和旅                 no_price
   45/307 里萊行旅                 llm_fail
   46/307 新水調歌頭民宿              3000
   47/307 陽光旅行民宿               2000
   48/307 小鹿文娛─劇院酒店            no_price
   49/307 檜木居民宿                no_price
   50/307 五分鈿                  3600
   51/307 高橋飯店                 no_price
   52/307 路徒行旅-台南成大館           no_price
   53/307 小墾丁渡假村               3600
   54/307 82行館民宿               1300
   55/307 沐夏民宿                 no_price
   56/307 水舞行館                 5800
   57/307 救國團復興青年活動中心          3200
   58/307 千晴民宿                 2300
   59/307 水舞間                  no_price
   60/307 路境行旅－花蓮文化館           no_price
   61/307 定風波民宿                3000
   62/307 桃月屋                  3600
   63/307 夏都城旅安平館              8000
   64/307 喜約民宿                 2000
   65/307 秋合民宿                 1900
   66/307 福容大飯店 桃園機場捷運 A8      8800
   67/307 久窩行旅-逢甲館             no_price
   68/307 花蓮假期飯店               6000
   69/307 藍海之丘民宿               3200
   70/307 樂活行館                 5980
   71/307 星空海藍大飯店              2650
   72/307 惠來谷關溫泉會館             no_price
   73/307 挪威森林頂級汽車旅館           no_price
   74/307 富立登國際大飯店             no_price
   75/307 跳跳民宿                 no_price
   76/307 統一的家民宿               no_price
   77/307 福容大飯店 福隆貝悅           12800
   78/307 好好民宿                 not_html
   79/307 閣樂有限公司               no_price
   80/307 小樹的家                 2100
   81/307 冠倫旅店                 no_price
   82/307 上園民宿                 2000
   83/307 陶花巷弄民宿               no_price
   84/307 安泊旅店                 3000
   85/307 宜泰大飯店                4600
   86/307 和平森旅                 2200
   87/307 紡織娘浪漫民宿              no_price
   88/307 雲月精品會館               llm_fail
   89/307 挪威森林精品SPA汽車旅館        no_price
   90/307 北國之春和風汽車旅館           no_price
   91/307 光隅民宿                 5000
   92/307 稻香緣民宿                no_price
   93/307 撲克商旅                 4000
   94/307 八里坪民宿                no_price
   95/307 台中港酒店                3999
   96/307 路境行旅-花蓮大同館           no_price
   97/307 民宿記                  no_price
   98/307 碧山廬禪的民宿              not_html
   99/307 薩爾茲堡莊園民宿             fetch_error:SSLError
  100/307 樂逸文旅-六合夜市棒球館         1800
  101/307 德爾芙快捷酒店              no_price
  102/307 將捷金鬱金香酒店             fetch_error:SSLError
  103/307 福澳窩背包客民宿             no_price
  104/307 煙波花時間  花蓮            no_price
  105/307 煙波花時間　宜蘭傳藝           no_price
  106/307 新竹福華大飯店              no_price
  107/307 赫絲珀HSR高鐵行旅           not_html
  108/307 倍詩泰民宿                2200
  109/307 水鳥の家                 2400
  110/307 悠嫻民宿                 no_price
  111/307 雀客嗨夫                 no_price
  112/307 美侖大飯店                8800
  113/307 典藏花都民宿               no_price
  114/307 墾丁馬爾地夫溫泉大飯店          3200
  115/307 興源行民宿                2000
  116/307 露予莊園民宿               no_price
  117/307 依山棲                  no_price
  118/307 築樂窩                  2380
  119/307 溫莎堡汽車旅館              1780
  120/307 新京站民宿                no_price
  121/307 經典公仔主題民宿             llm_fail
  122/307 荷米輕別館                no_price
  123/307 風海山會館                no_price
  124/307 福容徠旅 澎湖              9800
  125/307 清新溫泉飯店               13000
  126/307 遇巧寓                  1680
  127/307 翠園歐風庭園民宿             2600
  128/307 悅華大酒店                no_price
  129/307 福容大飯店 福隆             12800
  130/307 擁月星宿民宿               no_price
  131/307 安泊民宿                 no_price
  132/307 福田瓦舍                 2200
  133/307 路徒行旅-偵探寓所            no_price
