序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期
193,11330,花彤林民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉稻香村廣豐二街69號,03-8528208,https://tw-bnb.com/flowerforest/index.php?page=r3.php,https://maps.google.com/?cid=12380826349886486406,5,200,300,7650,2026-09-01,2026-09-02,2,,,,,
194,32627,荷米輕新館,臺南市,中西區,民宿,臺南市中西區建業街39號之2,0905051562-,https://easyhousepro.wixsite.com/my-site,https://maps.google.com/?cid=5476886438157485044,4.9,195,300,16200,2026-09-01,2026-09-02,2,,,,,
195,8421,雋格大飯店,臺中市,東區,旅館,臺中市東區建成路700號，700號2樓至5樓、700號6樓之1、2至12樓之1、2,04-37070588,,https://maps.google.com/?cid=11288989689687515413,4.5,193,300,54000,2026-09-01,2026-09-02,2,,,,,
196,22103,旅采民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市五德里1鄰雞母塢216號,06-9951798,,https://maps.google.com/?cid=8580108511091970194,5,192,300,8640,2026-09-01,2026-09-02,2,,,,,
197,7976,八八古藝二館民宿,金門縣,金寧鄉,民宿,金門縣金寧鄉下堡46號,0910394377082-355340,,https://maps.google.com/?cid=18170176221299149728,4.5,191,300,2880,2026-09-01,2026-09-02,2,,,,,
198,2754,童心童趣民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉仁里村吉豐路一段16巷1號,0975170065,,https://maps.google.com/?cid=8299985729820465150,4.8,189,300,6120,2026-09-01,2026-09-02,2,,,,,
199,27571,南岸山．綺,臺南市,安平區,民宿,臺南市安平區世平五街10巷35號,06-3910055,,https://maps.google.com/?cid=17200208425393033281,4.9,189,300,7200,2026-09-01,2026-09-02,2,,,,,
200,26015,Inn巷文創旅店,屏東縣,恆春鎮,民宿,屏東縣恆春鎮興北路興東巷9弄20號,0915151715-,http://innsiangbnb.uukt.com.tw/,https://maps.google.com/?cid=17878608094529390025,4.8,189,300,6300,2026-09-01,2026-09-02,2,,,,,
201,16160,福棧,臺中市,大甲區,旅館,臺中市大甲區育德路21號,098209879904-26887888,,https://maps.google.com/?cid=17568114502172685610,4.4,189,300,8172,2026-09-01,2026-09-02,2,,,,,
202,35928,九號和和民宿,臺南市,安平區,民宿,臺南市安平區州平二街53號,098129569706-7035935,,https://maps.google.com/?cid=14036905937752774185,5,189,300,17099,2026-09-01,2026-09-02,2,,,,,
203,19248,小貓兩3隻民宿,臺東縣,臺東市,民宿,臺東縣臺東市中興路二段90號,089-232012,http://www.facebook.com/kittensbnb,https://maps.google.com/?cid=6884899848854975407,4.8,187,300,4320,2026-09-01,2026-09-02,2,,,,,
204,35478,稻香田園民宿,臺東縣,關山鎮,民宿,臺東縣關山鎮德高里22鄰忠慶12之3號,0911316621-,,https://maps.google.com/?cid=6457005330354072208,4.8,187,300,8100,2026-09-01,2026-09-02,2,,,,,
205,21937,橘色,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆公路208巷7號,0988549459,,https://maps.google.com/?cid=10141246811922102101,4.8,186,300,5040,2026-09-01,2026-09-02,2,,,,,
206,22036,蘑菇30民宿,臺東縣,臺東市,民宿,臺東縣臺東市吉泰路599巷30號,0931899758-,,https://maps.google.com/?cid=10622963444366100818,4.9,185,300,4950,2026-09-01,2026-09-02,2,,,,,
207,17584,晶澤別館,南投縣,魚池鄉,旅館,南投縣魚池鄉日月村文化街110號,049-7008188,,https://maps.google.com/?cid=6133991260777387168,3.5,183,300,6300,2026-09-01,2026-09-02,2,,,,,
208,9374,星宿渡假別墅,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉天福村東興路13之5號,0935171783-,,https://maps.google.com/?cid=8370743748676450454,4.7,181,300,4950,2026-09-01,2026-09-02,2,,,,,
209,7063,悠嫻民宿,彰化縣,福興鄉,民宿,彰化縣福興鄉彰鹿路7段330巷127弄28號,093152305204-7769938,https://www.easystay.url.tw/,https://maps.google.com/?cid=14069840570294514752,4.6,178,300,7380,2026-09-01,2026-09-02,2,,,,,
210,33812,露予莊園民宿,花蓮縣,玉里鎮,民宿,花蓮縣玉里鎮觀音里14鄰高寮284號,0933485773-,https://lilyfarm.webnode.tw/,https://maps.google.com/?cid=15712257171186212500,4.4,177,300,3060,2026-09-01,2026-09-02,2,,,,,
211,10396,天工享棧SUPER INN主題民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆西路33巷123弄6號,0926371229-,https://superinn-bnb.com/,https://maps.google.com/?cid=14223463480764564348,4.9,177,300,3780,2026-09-01,2026-09-02,2,,,,,
212,38032,芷築民宿,臺南市,中西區,民宿,臺南市中西區信義街46巷2號,0986806736-,,https://maps.google.com/?cid=6028897813671702746,4.8,176,300,8982,2026-09-01,2026-09-02,2,,,,,
213,9999,望際回家,南投縣,竹山鎮,民宿,南投縣竹山鎮田子里大林巷16-39號,049-2841229,,https://maps.google.com/?cid=10572132483806529455,4.8,176,300,8100,2026-09-01,2026-09-02,2,,,,,
214,10362,啓瓦居會館,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉中山路36號,0910059551,http://www.cwg.com.tw,https://maps.google.com/?cid=3553724514992757502,4.7,176,300,6750,2026-09-01,2026-09-02,2,,,,,
215,8940,羅東丹妮亞庭園民宿,宜蘭縣,羅東鎮,民宿,宜蘭縣羅東鎮新群里7鄰富農路三段65號,0965178897,,https://maps.google.com/?cid=8412374521304166346,4.2,175,300,5400,2026-09-01,2026-09-02,2,,,,,
216,37067,好好民宿,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉武罕三路131巷12號,0915229591-,https://haohaoday.com/,https://maps.google.com/?cid=16723395662179078338,5,174,300,16200,2026-09-01,2026-09-02,2,,,,,
217,33835,巷弄里歐民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市主力里4鄰中華路317巷2之2號,096302862003-8316707,,https://maps.google.com/?cid=2648914268288258674,5,174,300,10782,2026-09-01,2026-09-02,2,,,,,
218,6689,薩圖恩文旅,臺中市,北區,旅館,臺中市北區健行路590號4-7樓,04-22070988,,https://maps.google.com/?cid=14039578308649612,4,174,300,14292,2026-09-01,2026-09-02,2,,,,,
219,25962,白沙35民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮水泉里白沙路35號,08-8866001,,https://maps.google.com/?cid=15809394074685710397,4.4,173,300,8100,2026-09-01,2026-09-02,2,,,,,
220,19817,海角203民宿(特色民宿),澎湖縣,馬公市,民宿,澎湖縣馬公市安宅里1之17號,06-9275062,,https://maps.google.com/?cid=3443465229416954623,4.4,172,300,4500,2026-09-01,2026-09-02,2,,,,,
221,29925,東皋歇暝,彰化縣,鹿港鎮,民宿,彰化縣鹿港鎮復興路318號,0965519071-,https://www.facebook.com/tkhm.lukanghomestay,https://maps.google.com/?cid=1126847246802444421,4.9,172,300,7200,2026-09-01,2026-09-02,2,,,,,
222,20840,三石山小棧,南投縣,鹿谷鄉,民宿,南投縣鹿谷鄉和雅村愛鄉路2-16號,049-2754382,,https://maps.google.com/?cid=17926922253571198373,4.2,172,300,3420,2026-09-01,2026-09-02,2,,,,,
223,22037,愛上瑪黛民宿,臺東縣,臺東市,民宿,臺東縣臺東市吉泰路599巷28號,0912789490-,,https://maps.google.com/?cid=16975780399171015027,4.9,171,300,4950,2026-09-01,2026-09-02,2,,,,,
224,3588,吾宅溜滑梯親子民宿,臺南市,安平區,民宿,臺南市安平區慶平路110號,0906389888-,,https://maps.google.com/?cid=15627431340032592543,4.8,170,300,5400,2026-09-01,2026-09-02,2,,,,,
225,13058,屋光拾舍民宿,澎湖縣,湖西鄉,民宿,澎湖縣湖西鄉北寮村6鄰北寮41之10號,06-9921212,,https://maps.google.com/?cid=13600945870769112724,4.9,170,300,5400,2026-09-01,2026-09-02,2,,,,,
226,1287,海灣Villa會館,金門縣,金沙鎮,民宿,金門縣金沙鎮浦山里后宅76號,0905235003-,,https://maps.google.com/?cid=879949008179692622,4.3,170,300,3600,2026-09-01,2026-09-02,2,,,,,
227,1351,皇凱賓館,臺中市,中區,旅館,臺中市中區三民路二段116號6樓之1至8樓之1,04-22206108,,https://maps.google.com/?cid=9822532560738475262,3.1,167,300,9000,2026-09-01,2026-09-02,2,,,,,
228,3088,金洙椏休閒民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉協和村1鄰協和中路17-27號,03-9506727,,https://maps.google.com/?cid=14554169225567888095,4.7,166,300,7092,2026-09-01,2026-09-02,2,,,,,
229,37664,工業風親子民宿,南投縣,集集鎮,民宿,南投縣集集鎮南投縣集集鎮林尾一街25號,0983506823-,https://www.defu-manor.com/,https://maps.google.com/?cid=1658046427926640683,5,165,300,7200,2026-09-01,2026-09-02,2,,,,,
230,37002,集光悠宅,南投縣,集集鎮,民宿,南投縣集集鎮林尾里林尾一街23號,0983506823-,https://www.defu-manor.com/,https://maps.google.com/?cid=1658046427926640683,5,165,300,7200,2026-09-01,2026-09-02,2,,,,,
231,38299,繽紛民宿,南投縣,集集鎮,民宿,南投縣集集鎮林尾一街21號,0983506823-,,https://maps.google.com/?cid=1658046427926640683,5,165,300,7200,2026-09-01,2026-09-02,2,,,,,
232,14078,圓山大飯店,臺北市,中山區,觀光旅館,臺北市中山區中山北路4段1巷1號,02-28868888,http://www.grand-hotel.org,https://maps.google.com/?cid=7750792977542521795,4.5,160,300,432000,2026-09-01,2026-09-02,2,,,,,
233,26017,荷米輕別館,臺南市,中西區,民宿,臺南市中西區府前路一段122巷6號,0905051562-,https://easyhousepro.wixsite.com/my-site,https://maps.google.com/?cid=13645472526603302403,4.9,160,300,12600,2026-09-01,2026-09-02,2,,,,,
234,35895,好咖民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆公路208巷15弄30號,0988669765-,https://www.facebook.com/ken.ding.hao.ka.lu.dian.2024,https://maps.google.com/?cid=747889004338673078,4.5,160,300,5400,2026-09-01,2026-09-02,2,,,,,
235,8995,福澳窩背包客民宿,連江縣,南竿鄉,民宿,連江縣南竿鄉福沃村89號,0937883091-,https://site.traiwan.com/FuAoWoHostel/,https://maps.google.com/?cid=17231107849696459049,4.7,158,300,900,2026-09-01,2026-09-02,2,,,,,
236,16280,23Here民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市國聯五路23號,0966772333-,https://23here.970bnb.net/index.html,https://maps.google.com/?cid=17926240278685939002,4.8,158,300,13500,2026-09-01,2026-09-02,2,,,,,
