序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期,備註
385,28403,躲貓貓民宿,臺南市,安平區,民宿,臺南市安平區安平路606巷35弄33號,0989508533-,https://twstay.com/RWD1/index.aspx?bnb=hidecats,https://maps.google.com/?cid=1641217218657399729,4.8,53,300,6300,2026-09-01,2026-09-02,2,,,,,,
386,10496,山邊52民宿,花蓮縣,壽豐鄉,民宿,花蓮縣壽豐鄉豐山村山邊路2段52號,03-8652228,,https://maps.google.com/?cid=8351037034206777684,4.6,52,300,4320,2026-09-01,2026-09-02,2,,,,,,
387,17009,艾麗絲泉民宿-天送埤別館,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉天福村東興路20-8號,0908608983-,http://www.alicesprings.com.tw,https://maps.google.com/?cid=18299643678294913399,4.3,51,300,3780,2026-09-01,2026-09-02,2,,,,,,
388,38265,阿嬌ㄟ岫,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉中興二路56號,0920394642-,https://ajiaos.shinedy.app,https://maps.google.com/?cid=13577902874122445403,5,51,300,10305,2026-09-01,2026-09-02,2,,,,,,
389,34601,LOVE米會館民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉五結中路一段68號,0976941099-,,https://maps.google.com/?cid=2527605035285600025,4.5,50,300,13500,2026-09-01,2026-09-02,2,,,,,,
390,31012,耘居villa,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆北路75巷26號,0981114423,,https://maps.google.com/?cid=10282101022049285208,5,49,300,4680,2026-09-01,2026-09-02,2,,,,,,
391,7032,九乘九民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市府前路296巷5號,0975022988-,,https://maps.google.com/?cid=9606424164614865859,4.4,49,300,3600,2026-09-01,2026-09-02,2,,,,,,
392,15317,日光山林,臺中市,東勢區,民宿,臺中市東勢區新城街288巷22號,0989020819-,http://sunhill.okgo.tw,https://maps.google.com/?cid=13210855841204290516,4.9,49,300,6750,2026-09-01,2026-09-02,2,,,,,,
393,37702,言午次方民宿,嘉義縣,布袋鎮,民宿,嘉義縣布袋鎮新厝里新厝仔341之4號,0978090975-,,https://maps.google.com/?cid=16853325009799083487,4.9,48,300,2700,2026-09-01,2026-09-02,2,,,,,,
394,36858,洛津做夢,彰化縣,鹿港鎮,民宿,彰化縣鹿港鎮中山路163號,0965027163-,https://www.booking-owlnest.com/choebang.house?,https://maps.google.com/?cid=9425338657106676103,5,48,300,27000,2026-09-01,2026-09-02,2,,,,,,
395,38514,Villa Samaya Awan 紗幔雅雲灣 B,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉三順路39巷9號,0902101161-,https://selectstaycation.com/,https://maps.google.com/?cid=1507722720391298134,4.9,48,300,5220,2026-09-01,2026-09-02,2,,,,,,
396,38512,Villa Samaya Awan 紗幔雅雲灣 A,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉三順路37號,0902101161-,https://selectstaycation.com/,https://maps.google.com/?cid=1507722720391298134,4.9,48,300,5220,2026-09-01,2026-09-02,2,,,,,,
