hohi_id,旅宿名稱,縣市鄉鎮,平日雙人房價,來源,查核日期,備註,google_maps
4817,美好墾丁旅閣民宿,屏東縣恆春鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%BE%8E%E5%A5%BD%E5%A2%BE%E4%B8%81%E6%97%85%E9%96%A3%E6%B0%91%E5%AE%BF%20%E5%B1%8F%E6%9D%B1%E7%B8%A3%E6%81%86%E6%98%A5%E9%8E%AE%E8%88%B9%E5%B8%86%E8%B7%AF846%E5%B7%B770%E8%99%9F
32785,巴里巴里民宿,屏東縣恆春鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B7%B4%E9%87%8C%E5%B7%B4%E9%87%8C%E6%B0%91%E5%AE%BF%20%E5%B1%8F%E6%9D%B1%E7%B8%A3%E6%81%86%E6%98%A5%E9%8E%AE%E5%A2%BE%E4%B8%81%E8%B7%AF%E9%80%9A%E6%B5%B7%E5%B7%B720%E8%99%9F
21429,恆春奕棧,屏東縣恆春鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E6%81%86%E6%98%A5%E5%A5%95%E6%A3%A7%20%E5%B1%8F%E6%9D%B1%E7%B8%A3%E6%81%86%E6%98%A5%E9%8E%AE%E6%81%86%E5%85%AC%E8%B7%AF210%E4%B9%8B2%E8%99%9F
2754,童心童趣民宿,花蓮縣吉安鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E7%AB%A5%E5%BF%83%E7%AB%A5%E8%B6%A3%E6%B0%91%E5%AE%BF%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E5%90%89%E5%AE%89%E9%84%89%E4%BB%81%E9%87%8C%E6%9D%91%E5%90%89%E8%B1%90%E8%B7%AF%E4%B8%80%E6%AE%B516%E5%B7%B71%E8%99%9F
34981,米隅民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E7%B1%B3%E9%9A%85%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E9%8E%96%E6%B8%AF%E9%87%8C%E9%8E%96%E6%B8%AF%E4%B8%80%E8%B7%AF73%E5%B7%B710%E8%99%9F
34977,三餐四季民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%A4%90%E5%9B%9B%E5%AD%A3%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E9%8E%96%E6%B8%AF%E9%87%8C%E9%8E%96%E6%B8%AF%E4%B8%80%E8%B7%AF73%E5%B7%B78%E8%99%9F
33810,睏齁霸民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E7%9D%8F%E9%BD%81%E9%9C%B8%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E9%8E%96%E6%B8%AF%E9%87%8C1932%E4%B9%8B5%E8%99%9F
26352,好山好水民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E5%A5%BD%E5%B1%B1%E5%A5%BD%E6%B0%B4%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E5%B1%B1%E6%B0%B4%E9%87%8C13%E9%84%B0%E7%8F%A0%E6%B1%9F285%E8%99%9F
17584,晶澤別館,南投縣魚池鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%99%B6%E6%BE%A4%E5%88%A5%E9%A4%A8%20%E5%8D%97%E6%8A%95%E7%B8%A3%E9%AD%9A%E6%B1%A0%E9%84%89%E6%97%A5%E6%9C%88%E6%9D%91%E6%96%87%E5%8C%96%E8%A1%97110%E8%99%9F
13647,設計師的家休閒民宿,宜蘭縣五結鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E8%A8%AD%E8%A8%88%E5%B8%AB%E7%9A%84%E5%AE%B6%E4%BC%91%E9%96%92%E6%B0%91%E5%AE%BF%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E4%BA%94%E7%B5%90%E9%84%89%E5%AD%9D%E5%A8%81%E6%9D%91%E5%AD%9D%E5%A8%81%E4%B8%80%E8%B7%AF138%E8%99%9F
7037,旅人燈塔民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E6%97%85%E4%BA%BA%E7%87%88%E5%A1%94%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E5%B1%B1%E6%B0%B4%E9%87%8C6%E9%84%B0%E7%8F%A0%E6%B1%9F110%E4%B9%8B13%E8%99%9F
8940,羅東丹妮亞庭園民宿,宜蘭縣羅東鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%BE%85%E6%9D%B1%E4%B8%B9%E5%A6%AE%E4%BA%9E%E5%BA%AD%E5%9C%92%E6%B0%91%E5%AE%BF%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E6%96%B0%E7%BE%A4%E9%87%8C7%E9%84%B0%E5%AF%8C%E8%BE%B2%E8%B7%AF%E4%B8%89%E6%AE%B565%E8%99%9F
33138,甌璇Ocean民宿,宜蘭縣蘇澳鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%94%8C%E7%92%87Ocean%E6%B0%91%E5%AE%BF%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E8%98%87%E6%BE%B3%E9%8E%AE%E8%88%88%E5%AE%89%E8%B7%AF25%E8%99%9F
13967,三好行旅,臺中市南屯區,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%A5%BD%E8%A1%8C%E6%97%85%20%E8%87%BA%E4%B8%AD%E5%B8%82%E5%8D%97%E5%B1%AF%E5%8D%80%E6%96%87%E5%BF%83%E8%B7%AF%E4%B8%80%E6%AE%B5552%E8%99%9F3~14%E6%A8%93%28%E4%B9%8B1%29
17009,艾麗絲泉民宿-天送埤別館,宜蘭縣三星鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E8%89%BE%E9%BA%97%E7%B5%B2%E6%B3%89%E6%B0%91%E5%AE%BF-%E5%A4%A9%E9%80%81%E5%9F%A4%E5%88%A5%E9%A4%A8%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E4%B8%89%E6%98%9F%E9%84%89%E5%A4%A9%E7%A6%8F%E6%9D%91%E6%9D%B1%E8%88%88%E8%B7%AF20-8%E8%99%9F
17115,鳥語花香,宜蘭縣五結鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E8%AA%9E%E8%8A%B1%E9%A6%99%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E4%BA%94%E7%B5%90%E9%84%89%E4%B8%89%E7%B5%90%E4%B8%89%E8%B7%AF5%E5%B7%B72%E8%99%9F
38391,鹿港宏宇旅宿,彰化縣鹿港鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E9%B9%BF%E6%B8%AF%E5%AE%8F%E5%AE%87%E6%97%85%E5%AE%BF%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E9%A0%82%E5%8E%9D%E9%87%8C%E8%A3%95%E6%B0%91%E8%A1%97129%E8%99%9F
4643,楓香白樺莊園民宿,臺東縣關山鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E6%A5%93%E9%A6%99%E7%99%BD%E6%A8%BA%E8%8E%8A%E5%9C%92%E6%B0%91%E5%AE%BF%20%E8%87%BA%E6%9D%B1%E7%B8%A3%E9%97%9C%E5%B1%B1%E9%8E%AE%E8%B1%90%E6%B3%89%E9%87%8C%E9%95%B7%E8%88%88%E8%B7%AF12-8%E8%99%9F
2569,YOUNG民宿,金門縣金湖鎮,,,,,https://www.google.com/maps/search/?api=1&query=YOUNG%E6%B0%91%E5%AE%BF%20%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E6%B9%96%E9%8E%AE%E6%B9%96%E5%89%8D35%E8%99%9F
22134,放慢民宿,花蓮縣花蓮市,,,,,https://www.google.com/maps/search/?api=1&query=%E6%94%BE%E6%85%A2%E6%B0%91%E5%AE%BF%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E4%B8%AD%E5%8E%9F%E8%B7%AF394%E5%B7%B726%E8%99%9F
34552,近山左民宿,花蓮縣花蓮市,,,,,https://www.google.com/maps/search/?api=1&query=%E8%BF%91%E5%B1%B1%E5%B7%A6%E6%B0%91%E5%AE%BF%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%9C%8B%E7%A6%8F%E9%87%8C6%E9%84%B0%E6%B2%99%E5%9F%BA%E6%8B%89%E9%9B%85%E8%A1%9798%E4%B9%8B1%E8%99%9F
7353,吾家城市客棧,金門縣金寧鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E5%90%BE%E5%AE%B6%E5%9F%8E%E5%B8%82%E5%AE%A2%E6%A3%A7%20%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E5%AF%A7%E9%84%89%E6%B9%96%E5%8D%9713-9%E8%99%9F
34979,近山右民宿,花蓮縣花蓮市,,,,,https://www.google.com/maps/search/?api=1&query=%E8%BF%91%E5%B1%B1%E5%8F%B3%E6%B0%91%E5%AE%BF%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E8%8A%B1%E8%93%AE%E5%B8%82%E5%9C%8B%E7%A6%8F%E9%87%8C6%E9%84%B0%E6%B2%99%E5%9F%BA%E6%8B%89%E9%9B%85%E8%A1%9798%E8%99%9F
10522,華帥海景飯店,基隆市仁愛區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8F%AF%E5%B8%A5%E6%B5%B7%E6%99%AF%E9%A3%AF%E5%BA%97%20%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BB%81%E6%84%9B%E5%8D%80%E5%AD%9D%E4%BA%8C%E8%B7%AF108%E8%99%9F
