hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,旅宿網定價_僅供對照,查詢入住日,查詢退房日,人數,平日雙人房價,來源平台,查核日期,備註
5826,太子行旅,臺南市,中西區,旅館,臺南市中西區友愛街349號(2-5樓)、康樂街82號(1樓門廳及接待處),06-2289171,,https://maps.google.com/?cid=9686039235760198142,4.7,9787,8800,2026-09-01,2026-09-02,2,,,,
1768,單人房 SINGLE INN-站前館,高雄市,新興區,旅館,高雄市新興區八德一路392號,07-2363256,http://www.singleinn.com.tw/,https://maps.google.com/?cid=10151517148533788450,4.6,4619,4300,2026-09-01,2026-09-02,2,,,,
17613,米力旅店,臺中市,西屯區,旅館,臺中市西屯區福星北一街15號,04-27073777,,https://maps.google.com/?cid=13428625759862786979,4.2,4214,5800,2026-09-01,2026-09-02,2,,,,
779,SINGLE INN單人房,高雄市,新興區,旅館,高雄市新興區林森一路267號地下一樓,07-2363256,,https://maps.google.com/?cid=13574361105786221478,4.4,3500,1296,2026-09-01,2026-09-02,2,,,,
4751,南元休閒農場湖上渡假村,臺南市,柳營區,旅館,臺南市柳營區果毅里南湖25號,06-6990726,http://www.nanyuanfarm.com.tw/,https://maps.google.com/?cid=379258245207996612,3.9,2895,12000,2026-09-01,2026-09-02,2,,,,
12956,揚昇山莊,桃園市,楊梅區,旅館,桃園市楊梅區楊昇路256號1-3樓,03-4780099,http://www.sunrise-golf.com.tw,https://maps.google.com/?cid=7524677766804856660,4.3,2850,9800,2026-09-01,2026-09-02,2,,,,
20085,花蓮假期飯店,花蓮縣,花蓮市,旅館,花蓮縣花蓮市主力里1鄰中華路231號,03-8360099,https://www.3hhotel.com/,https://maps.google.com/?cid=10970630092737321468,4.2,2775,6000,2026-09-01,2026-09-02,2,,,,
10627,夢想森林親子民宿,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉大德路二段613號,0935155628-,http://www.dreamforest-bnb.tw/,https://maps.google.com/?cid=3373131342185981683,5,1396,10000,2026-09-01,2026-09-02,2,,,,
5527,童年松花民宿,嘉義縣,番路鄉,民宿,嘉義縣番路鄉下坑村下坑45之18號,05-2590536,,https://maps.google.com/?cid=10091017614399115209,3.7,1285,8000,2026-09-01,2026-09-02,2,,,,
33101,煙波大飯店花蓮太魯閣山闊館,花蓮縣,新城鄉,旅館,花蓮縣新城鄉順安村6鄰草林10之7號,03-8612000,https://www.lakeshore.com.tw/,https://maps.google.com/?cid=365045049246792813,4.8,1255,35200,2026-09-01,2026-09-02,2,,,,
22908,璞緻民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉五結中路二段241巷7弄22號,03-9606198,,https://maps.google.com/?cid=13823983497786439387,4.7,1141,4800,2026-09-01,2026-09-02,2,,,,
9396,朝日溫泉民宿,新竹縣,尖石鄉,民宿,新竹縣尖石鄉錦屏村4鄰32號,03-5841111,,https://maps.google.com/?cid=10122366827981519081,3.6,1081,3800,2026-09-01,2026-09-02,2,,,,
7512,馬祖藍灣景觀餐廳民宿,連江縣,莒光鄉,民宿,連江縣莒光鄉福正村58號,0836-22420,,https://maps.google.com/?cid=14597859830396015912,4.9,1032,1200,2026-09-01,2026-09-02,2,,,,
17481,亞馨文創休閒旅館,花蓮縣,花蓮市,旅館,花蓮縣花蓮市主學里9鄰中正路336巷1弄1號,03-8333815,,https://maps.google.com/?cid=2438528318476978176,4.3,1006,4000,2026-09-01,2026-09-02,2,,,,
32977,弎弄民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43-17號,0935326423,,https://maps.google.com/?cid=6357761995014461030,4.2,978,25000,2026-09-01,2026-09-02,2,,,,
28263,弌宅民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43之19號,0932535492,,https://maps.google.com/?cid=6357761995014461030,4.2,978,9600,2026-09-01,2026-09-02,2,,,,
32978,肆院民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43-16號,0927950880,,https://maps.google.com/?cid=6357761995014461030,4.2,978,25000,2026-09-01,2026-09-02,2,,,,
28262,弍寓民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43之18號,0978213198,,https://maps.google.com/?cid=6357761995014461030,4.2,978,9600,2026-09-01,2026-09-02,2,,,,
2444,勝華大飯店,南投縣,信義鄉,旅館,南投縣信義鄉東埔村開高巷60號,049-2701511,https://www.sheng-huaw.com.tw,https://maps.google.com/?cid=11611675778391133714,3.6,971,3000,2026-09-01,2026-09-02,2,,,,
13230,東之港汽車旅館,屏東縣,東港鎮,旅館,屏東縣東港鎮船頭里水源二街139號,08-8352229,,https://maps.google.com/?cid=6898068138561105999,4.3,896,1680,2026-09-01,2026-09-02,2,,,,
13696,帝王大飯店,宜蘭縣,礁溪鄉,旅館,宜蘭縣礁溪鄉礁溪路五段156號,03-9883769,,https://maps.google.com/?cid=12171053802119707818,3.5,825,4800,2026-09-01,2026-09-02,2,,,,
8330,蔚藍海岸休閒SPA汽車旅館,基隆市,安樂區,旅館,基隆市安樂區武隆街67號,02-24332366,http://keelung.villa-group.com.tw/,https://maps.google.com/?cid=8219458973566262381,3.7,816,20000,2026-09-01,2026-09-02,2,,,,
777,墾丁沐林會館,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆公路230號,0982688049-,https://site.owlting.com/mulininn,https://maps.google.com/?cid=12692512522224083821,4.7,793,7000,2026-09-01,2026-09-02,2,,,,
